location,target,type,unit,bin_start_incl,bin_end_notincl,value
Alabama,4 wk ahead,Bin,percent,6.1,6.2,0
Alabama,4 wk ahead,Bin,percent,6.2,6.3,5.00E-04
Alabama,4 wk ahead,Bin,percent,6.3,6.4,5.00E-04
Alabama,4 wk ahead,Bin,percent,6.4,6.5,0
Alabama,4 wk ahead,Bin,percent,6.5,6.6,5.00E-04
Alabama,4 wk ahead,Bin,percent,6.6,6.7,5.00E-04
Alabama,4 wk ahead,Bin,percent,6.7,6.8,0.001
Alabama,4 wk ahead,Bin,percent,6.8,6.9,0
Alabama,4 wk ahead,Bin,percent,6.9,7,5.00E-04
Alabama,4 wk ahead,Bin,percent,7,7.1,5.00E-04
Alabama,4 wk ahead,Bin,percent,7.1,7.2,5.00E-04
Alabama,4 wk ahead,Bin,percent,7.2,7.3,0
Alabama,4 wk ahead,Bin,percent,7.3,7.4,5.00E-04
Alabama,4 wk ahead,Bin,percent,7.4,7.5,0
Alabama,4 wk ahead,Bin,percent,7.5,7.6,0
Alabama,4 wk ahead,Bin,percent,7.6,7.7,0
Alabama,4 wk ahead,Bin,percent,7.7,7.8,0
Alabama,4 wk ahead,Bin,percent,7.8,7.9,0
Alabama,4 wk ahead,Bin,percent,7.9,8,0
Alabama,4 wk ahead,Bin,percent,8,8.1,0
Alabama,4 wk ahead,Bin,percent,8.1,8.2,5.00E-04
Alabama,4 wk ahead,Bin,percent,8.2,8.3,0
Alabama,4 wk ahead,Bin,percent,8.3,8.4,0
Alabama,4 wk ahead,Bin,percent,8.4,8.5,0
Alabama,4 wk ahead,Bin,percent,8.5,8.6,0
Alabama,4 wk ahead,Bin,percent,8.6,8.7,0
Alabama,4 wk ahead,Bin,percent,8.7,8.8,0
Alabama,4 wk ahead,Bin,percent,8.8,8.9,0
Alabama,4 wk ahead,Bin,percent,8.9,9,0
Alabama,4 wk ahead,Bin,percent,9,9.1,0
Alabama,4 wk ahead,Bin,percent,9.1,9.2,0
Alabama,4 wk ahead,Bin,percent,9.2,9.3,0
Alabama,4 wk ahead,Bin,percent,9.3,9.4,0
Alabama,4 wk ahead,Bin,percent,9.4,9.5,0
Alabama,4 wk ahead,Bin,percent,9.5,9.6,0
Alabama,4 wk ahead,Bin,percent,9.6,9.7,0
Alabama,4 wk ahead,Bin,percent,9.7,9.8,5.00E-04
Alabama,4 wk ahead,Bin,percent,9.8,9.9,0
Alabama,4 wk ahead,Bin,percent,9.9,10,0
Alabama,4 wk ahead,Bin,percent,10,10.1,0
Alabama,4 wk ahead,Bin,percent,10.1,10.2,0
Alabama,4 wk ahead,Bin,percent,10.2,10.3,0
Alabama,4 wk ahead,Bin,percent,10.3,10.4,0
Alabama,4 wk ahead,Bin,percent,10.4,10.5,0
Alabama,4 wk ahead,Bin,percent,10.5,10.6,0
Alabama,4 wk ahead,Bin,percent,10.6,10.7,0
Alabama,4 wk ahead,Bin,percent,10.7,10.8,0
Alabama,4 wk ahead,Bin,percent,10.8,10.9,0
Alabama,4 wk ahead,Bin,percent,10.9,11,5.00E-04
Alabama,4 wk ahead,Bin,percent,11,11.1,0
Alabama,4 wk ahead,Bin,percent,11.1,11.2,0
Alabama,4 wk ahead,Bin,percent,11.2,11.3,0
Alabama,4 wk ahead,Bin,percent,11.3,11.4,0
Alabama,4 wk ahead,Bin,percent,11.4,11.5,0
Alabama,4 wk ahead,Bin,percent,11.5,11.6,0
Alabama,4 wk ahead,Bin,percent,11.6,11.7,0
Alabama,4 wk ahead,Bin,percent,11.7,11.8,0
Alabama,4 wk ahead,Bin,percent,11.8,11.9,0
Alabama,4 wk ahead,Bin,percent,11.9,12,0
Alabama,4 wk ahead,Bin,percent,12,12.1,0
Alabama,4 wk ahead,Bin,percent,12.1,12.2,0
Alabama,4 wk ahead,Bin,percent,12.2,12.3,0
Alabama,4 wk ahead,Bin,percent,12.3,12.4,0
Alabama,4 wk ahead,Bin,percent,12.4,12.5,0
Alabama,4 wk ahead,Bin,percent,12.5,12.6,0
Alabama,4 wk ahead,Bin,percent,12.6,12.7,0
Alabama,4 wk ahead,Bin,percent,12.7,12.8,0
Alabama,4 wk ahead,Bin,percent,12.8,12.9,0
Alabama,4 wk ahead,Bin,percent,12.9,13,0
Alabama,4 wk ahead,Bin,percent,13,100,0.0015
Alabama,Season peak percentage,Bin,percent,0,0.1,0
Alabama,Season peak percentage,Bin,percent,0.1,0.2,0
Alabama,Season peak percentage,Bin,percent,0.2,0.3,0
Alabama,Season peak percentage,Bin,percent,0.3,0.4,0
Alabama,Season peak percentage,Bin,percent,0.4,0.5,0
Alabama,Season peak percentage,Bin,percent,0.5,0.6,0
Alabama,Season peak percentage,Bin,percent,0.6,0.7,0
Alabama,Season peak percentage,Bin,percent,0.7,0.8,0
Alabama,Season peak percentage,Bin,percent,0.8,0.9,0
Alabama,Season peak percentage,Bin,percent,0.9,1,0
Alabama,Season peak percentage,Bin,percent,1,1.1,0
Alabama,Season peak percentage,Bin,percent,1.1,1.2,0
Alabama,Season peak percentage,Bin,percent,1.2,1.3,0
Alabama,Season peak percentage,Bin,percent,1.3,1.4,0.1305
Alabama,Season peak percentage,Bin,percent,1.4,1.5,0.041
Alabama,Season peak percentage,Bin,percent,1.5,1.6,0.0395
Alabama,Season peak percentage,Bin,percent,1.6,1.7,0.032
Alabama,Season peak percentage,Bin,percent,1.7,1.8,0.029
Alabama,Season peak percentage,Bin,percent,1.8,1.9,0.0285
Alabama,Season peak percentage,Bin,percent,1.9,2,0.0195
Alabama,Season peak percentage,Bin,percent,2,2.1,0.0145
Alabama,Season peak percentage,Bin,percent,2.1,2.2,0.0115
Alabama,Season peak percentage,Bin,percent,2.2,2.3,0.0165
Alabama,Season peak percentage,Bin,percent,2.3,2.4,0.0195
Alabama,Season peak percentage,Bin,percent,2.4,2.5,0.022
Alabama,Season peak percentage,Bin,percent,2.5,2.6,0.0185
Alabama,Season peak percentage,Bin,percent,2.6,2.7,0.019
Alabama,Season peak percentage,Bin,percent,2.7,2.8,0.0165
Alabama,Season peak percentage,Bin,percent,2.8,2.9,0.0135
Alabama,Season peak percentage,Bin,percent,2.9,3,0.0085
Alabama,Season peak percentage,Bin,percent,3,3.1,0.0095
Alabama,Season peak percentage,Bin,percent,3.1,3.2,0.0145
Alabama,Season peak percentage,Bin,percent,3.2,3.3,0.016
Alabama,Season peak percentage,Bin,percent,3.3,3.4,0.018
Alabama,Season peak percentage,Bin,percent,3.4,3.5,0.0145
Alabama,Season peak percentage,Bin,percent,3.5,3.6,0.0125
Alabama,Season peak percentage,Bin,percent,3.6,3.7,0.008
Alabama,Season peak percentage,Bin,percent,3.7,3.8,0.012
Alabama,Season peak percentage,Bin,percent,3.8,3.9,0.006
Alabama,Season peak percentage,Bin,percent,3.9,4,0.006
Alabama,Season peak percentage,Bin,percent,4,4.1,0.0075
Alabama,Season peak percentage,Bin,percent,4.1,4.2,0.0075
Alabama,Season peak percentage,Bin,percent,4.2,4.3,0.0085
Alabama,Season peak percentage,Bin,percent,4.3,4.4,0.008
Alabama,Season peak percentage,Bin,percent,4.4,4.5,0.008
Alabama,Season peak percentage,Bin,percent,4.5,4.6,0.01
Alabama,Season peak percentage,Bin,percent,4.6,4.7,0.005
Alabama,Season peak percentage,Bin,percent,4.7,4.8,0.008
Alabama,Season peak percentage,Bin,percent,4.8,4.9,0.0065
Alabama,Season peak percentage,Bin,percent,4.9,5,0.0095
Alabama,Season peak percentage,Bin,percent,5,5.1,0.009
Alabama,Season peak percentage,Bin,percent,5.1,5.2,0.005
Alabama,Season peak percentage,Bin,percent,5.2,5.3,0.0045
Alabama,Season peak percentage,Bin,percent,5.3,5.4,0.0055
Alabama,Season peak percentage,Bin,percent,5.4,5.5,0.0045
Alabama,Season peak percentage,Bin,percent,5.5,5.6,0.0035
Alabama,Season peak percentage,Bin,percent,5.6,5.7,0.006
Alabama,Season peak percentage,Bin,percent,5.7,5.8,0.0055
Alabama,Season peak percentage,Bin,percent,5.8,5.9,0.0035
Alabama,Season peak percentage,Bin,percent,5.9,6,0.0035
Alabama,Season peak percentage,Bin,percent,6,6.1,0.0025
Alabama,Season peak percentage,Bin,percent,6.1,6.2,0.0035
Alabama,Season peak percentage,Bin,percent,6.2,6.3,0.0035
Alabama,Season peak percentage,Bin,percent,6.3,6.4,0.005
Alabama,Season peak percentage,Bin,percent,6.4,6.5,0.0045
Alabama,Season peak percentage,Bin,percent,6.5,6.6,0.003
Alabama,Season peak percentage,Bin,percent,6.6,6.7,0.0055
Alabama,Season peak percentage,Bin,percent,6.7,6.8,0.004
Alabama,Season peak percentage,Bin,percent,6.8,6.9,0.0045
Alabama,Season peak percentage,Bin,percent,6.9,7,0.0055
Alabama,Season peak percentage,Bin,percent,7,7.1,0.003
Alabama,Season peak percentage,Bin,percent,7.1,7.2,0.005
Alabama,Season peak percentage,Bin,percent,7.2,7.3,0.0025
Alabama,Season peak percentage,Bin,percent,7.3,7.4,0.005
Alabama,Season peak percentage,Bin,percent,7.4,7.5,0.001
Alabama,Season peak percentage,Bin,percent,7.5,7.6,0.001
Alabama,Season peak percentage,Bin,percent,7.6,7.7,0.003
Alabama,Season peak percentage,Bin,percent,7.7,7.8,0.0025
Alabama,Season peak percentage,Bin,percent,7.8,7.9,0.0025
Alabama,Season peak percentage,Bin,percent,7.9,8,0.0035
Alabama,Season peak percentage,Bin,percent,8,8.1,0.002
Alabama,Season peak percentage,Bin,percent,8.1,8.2,0.0035
Alabama,Season peak percentage,Bin,percent,8.2,8.3,0.0015
Alabama,Season peak percentage,Bin,percent,8.3,8.4,0.0025
Alabama,Season peak percentage,Bin,percent,8.4,8.5,0.0025
Alabama,Season peak percentage,Bin,percent,8.5,8.6,0.001
Alabama,Season peak percentage,Bin,percent,8.6,8.7,0.004
Alabama,Season peak percentage,Bin,percent,8.7,8.8,5.00E-04
Alabama,Season peak percentage,Bin,percent,8.8,8.9,0.0015
Alabama,Season peak percentage,Bin,percent,8.9,9,0.003
Alabama,Season peak percentage,Bin,percent,9,9.1,5.00E-04
Alabama,Season peak percentage,Bin,percent,9.1,9.2,0.0015
Alabama,Season peak percentage,Bin,percent,9.2,9.3,5.00E-04
Alabama,Season peak percentage,Bin,percent,9.3,9.4,0.001
Alabama,Season peak percentage,Bin,percent,9.4,9.5,0.005
Alabama,Season peak percentage,Bin,percent,9.5,9.6,0.0025
Alabama,Season peak percentage,Bin,percent,9.6,9.7,0.0015
Alabama,Season peak percentage,Bin,percent,9.7,9.8,0.001
Alabama,Season peak percentage,Bin,percent,9.8,9.9,0.004
Alabama,Season peak percentage,Bin,percent,9.9,10,0.0015
Alabama,Season peak percentage,Bin,percent,10,10.1,0.002
Alabama,Season peak percentage,Bin,percent,10.1,10.2,0.002
Alabama,Season peak percentage,Bin,percent,10.2,10.3,0.0025
Alabama,Season peak percentage,Bin,percent,10.3,10.4,0.003
Alabama,Season peak percentage,Bin,percent,10.4,10.5,0.001
Alabama,Season peak percentage,Bin,percent,10.5,10.6,5.00E-04
Alabama,Season peak percentage,Bin,percent,10.6,10.7,0.001
Alabama,Season peak percentage,Bin,percent,10.7,10.8,0.002
Alabama,Season peak percentage,Bin,percent,10.8,10.9,5.00E-04
Alabama,Season peak percentage,Bin,percent,10.9,11,0.0015
Alabama,Season peak percentage,Bin,percent,11,11.1,5.00E-04
Alabama,Season peak percentage,Bin,percent,11.1,11.2,0.0015
Alabama,Season peak percentage,Bin,percent,11.2,11.3,0.002
Alabama,Season peak percentage,Bin,percent,11.3,11.4,0.001
Alabama,Season peak percentage,Bin,percent,11.4,11.5,0.0015
Alabama,Season peak percentage,Bin,percent,11.5,11.6,0.0015
Alabama,Season peak percentage,Bin,percent,11.6,11.7,0.0045
Alabama,Season peak percentage,Bin,percent,11.7,11.8,0.003
Alabama,Season peak percentage,Bin,percent,11.8,11.9,0.0025
Alabama,Season peak percentage,Bin,percent,11.9,12,0.002
Alabama,Season peak percentage,Bin,percent,12,12.1,0.0015
Alabama,Season peak percentage,Bin,percent,12.1,12.2,0.001
Alabama,Season peak percentage,Bin,percent,12.2,12.3,0.001
Alabama,Season peak percentage,Bin,percent,12.3,12.4,0.001
Alabama,Season peak percentage,Bin,percent,12.4,12.5,0.002
Alabama,Season peak percentage,Bin,percent,12.5,12.6,0
Alabama,Season peak percentage,Bin,percent,12.6,12.7,0.0025
Alabama,Season peak percentage,Bin,percent,12.7,12.8,0
Alabama,Season peak percentage,Bin,percent,12.8,12.9,0.002
Alabama,Season peak percentage,Bin,percent,12.9,13,0.0025
Alabama,Season peak percentage,Bin,percent,13,100,0.113
Alabama,Season peak week,Bin,week,16,17,0.0465
Alabama,Season peak week,Bin,week,17,18,0.039
Alabama,Season peak week,Bin,week,18,19,0.0585
Alabama,Season peak week,Bin,week,19,20,0.1075
Alabama,Season peak week,Bin,week,20,21,0.1645
Alabama,Season peak week,Bin,week,46,47,0.023
Alabama,Season peak week,Bin,week,47,48,0.018
Alabama,Season peak week,Bin,week,48,49,0.0195
Alabama,Season peak week,Bin,week,49,50,0.0135
Alabama,Season peak week,Bin,week,50,51,0.0125
Alabama,Season peak week,Bin,week,51,52,0.0105
Alabama,Season peak week,Bin,week,52,53,0.0135
Alabama,Season peak week,Bin,week,40,41,0
Alabama,Season peak week,Bin,week,41,42,0
Alabama,Season peak week,Bin,week,42,43,0
Alabama,Season peak week,Bin,week,43,44,0.1205
Alabama,Season peak week,Bin,week,44,45,0.0355
Alabama,Season peak week,Bin,week,45,46,0.026
Alabama,Season peak week,Bin,week,7,8,0.022
Alabama,Season peak week,Bin,week,8,9,0.0185
Alabama,Season peak week,Bin,week,9,10,0.02
Alabama,Season peak week,Bin,week,10,11,0.022
Alabama,Season peak week,Bin,week,11,12,0.0165
Alabama,Season peak week,Bin,week,12,13,0.0235
Alabama,Season peak week,Bin,week,13,14,0.025
Alabama,Season peak week,Bin,week,1,2,0.012
Alabama,Season peak week,Bin,week,2,3,0.0205
Alabama,Season peak week,Bin,week,3,4,0.011
Alabama,Season peak week,Bin,week,4,5,0.0165
Alabama,Season peak week,Bin,week,5,6,0.0155
Alabama,Season peak week,Bin,week,6,7,0.016
Alabama,Season peak week,Bin,week,14,15,0.0245
Alabama,Season peak week,Bin,week,15,16,0.028
Alaska,1 wk ahead,Bin,percent,0.5,0.6,0.3525
Alaska,1 wk ahead,Bin,percent,0.4,0.5,0.281
Alaska,1 wk ahead,Bin,percent,0.9,1,0.011
Alaska,1 wk ahead,Bin,percent,0.6,0.7,0.158
Alaska,1 wk ahead,Bin,percent,0.7,0.8,0.0565
Alaska,1 wk ahead,Bin,percent,0.8,0.9,0.023
Alaska,1 wk ahead,Bin,percent,0,0.1,5.00E-04
Alaska,1 wk ahead,Bin,percent,0.1,0.2,0.0045
Alaska,1 wk ahead,Bin,percent,0.2,0.3,0.029
Alaska,1 wk ahead,Bin,percent,0.3,0.4,0.0715
Alaska,1 wk ahead,Bin,percent,1.7,1.8,0.001
Alaska,1 wk ahead,Bin,percent,1.8,1.9,5.00E-04
Alaska,1 wk ahead,Bin,percent,1.9,2,0
Alaska,1 wk ahead,Bin,percent,2,2.1,0
Alaska,1 wk ahead,Bin,percent,2.1,2.2,0
Alaska,1 wk ahead,Bin,percent,2.2,2.3,0.001
Alaska,1 wk ahead,Bin,percent,1,1.1,0.0025
Alaska,1 wk ahead,Bin,percent,1.1,1.2,0.0025
Alaska,1 wk ahead,Bin,percent,1.2,1.3,0.0015
Alaska,1 wk ahead,Bin,percent,1.3,1.4,0.0015
Alaska,1 wk ahead,Bin,percent,1.4,1.5,5.00E-04
Alaska,1 wk ahead,Bin,percent,1.5,1.6,0.001
Alaska,1 wk ahead,Bin,percent,1.6,1.7,0
Alaska,1 wk ahead,Bin,percent,3,3.1,5.00E-04
Alaska,1 wk ahead,Bin,percent,3.1,3.2,0
Alaska,1 wk ahead,Bin,percent,3.2,3.3,0
Alaska,1 wk ahead,Bin,percent,3.3,3.4,0
Alaska,1 wk ahead,Bin,percent,3.4,3.5,0
Alaska,1 wk ahead,Bin,percent,3.5,3.6,0
Alaska,1 wk ahead,Bin,percent,3.6,3.7,0
Alaska,1 wk ahead,Bin,percent,3.7,3.8,0
Alaska,1 wk ahead,Bin,percent,3.8,3.9,0
Alaska,1 wk ahead,Bin,percent,3.9,4,0
Alaska,1 wk ahead,Bin,percent,4,4.1,0
Alaska,1 wk ahead,Bin,percent,4.1,4.2,0
Alaska,1 wk ahead,Bin,percent,4.2,4.3,0
Alaska,1 wk ahead,Bin,percent,4.3,4.4,0
Alaska,1 wk ahead,Bin,percent,4.4,4.5,0
Alaska,1 wk ahead,Bin,percent,4.5,4.6,0
Alaska,1 wk ahead,Bin,percent,4.6,4.7,0
Alaska,1 wk ahead,Bin,percent,4.7,4.8,0
Alaska,1 wk ahead,Bin,percent,4.8,4.9,0
Alaska,1 wk ahead,Bin,percent,4.9,5,0
Alaska,1 wk ahead,Bin,percent,5,5.1,0
Alaska,1 wk ahead,Bin,percent,5.1,5.2,0
Alaska,1 wk ahead,Bin,percent,5.2,5.3,0
Alaska,1 wk ahead,Bin,percent,5.3,5.4,0
Alaska,1 wk ahead,Bin,percent,5.4,5.5,0
Alaska,1 wk ahead,Bin,percent,5.5,5.6,0
Alaska,1 wk ahead,Bin,percent,5.6,5.7,0
Alaska,1 wk ahead,Bin,percent,5.7,5.8,0
Alaska,1 wk ahead,Bin,percent,5.8,5.9,0
Alaska,1 wk ahead,Bin,percent,5.9,6,0
Alaska,1 wk ahead,Bin,percent,6,6.1,0
Alaska,1 wk ahead,Bin,percent,6.1,6.2,0
Alaska,1 wk ahead,Bin,percent,6.2,6.3,0
Alaska,1 wk ahead,Bin,percent,2.3,2.4,0
Alaska,1 wk ahead,Bin,percent,2.4,2.5,0
Alaska,1 wk ahead,Bin,percent,2.5,2.6,0
Alaska,1 wk ahead,Bin,percent,2.6,2.7,0
Alaska,1 wk ahead,Bin,percent,2.7,2.8,0
Alaska,1 wk ahead,Bin,percent,2.8,2.9,0
Alaska,1 wk ahead,Bin,percent,2.9,3,0
Alaska,1 wk ahead,Bin,percent,7,7.1,0
Alaska,1 wk ahead,Bin,percent,7.1,7.2,0
Alaska,1 wk ahead,Bin,percent,7.2,7.3,0
Alaska,1 wk ahead,Bin,percent,7.3,7.4,0
Alaska,1 wk ahead,Bin,percent,7.4,7.5,0
Alaska,1 wk ahead,Bin,percent,7.5,7.6,0
Alaska,1 wk ahead,Bin,percent,7.6,7.7,0
Alaska,1 wk ahead,Bin,percent,7.7,7.8,0
Alaska,1 wk ahead,Bin,percent,7.8,7.9,0
Alaska,1 wk ahead,Bin,percent,7.9,8,0
Alaska,1 wk ahead,Bin,percent,8,8.1,0
Alaska,1 wk ahead,Bin,percent,8.1,8.2,0
Alaska,1 wk ahead,Bin,percent,8.2,8.3,0
Alaska,1 wk ahead,Bin,percent,8.3,8.4,0
Alaska,1 wk ahead,Bin,percent,8.4,8.5,0
Alaska,1 wk ahead,Bin,percent,8.5,8.6,0
Alaska,1 wk ahead,Bin,percent,8.6,8.7,0
Alaska,1 wk ahead,Bin,percent,8.7,8.8,0
Alaska,1 wk ahead,Bin,percent,8.8,8.9,0
Alaska,1 wk ahead,Bin,percent,8.9,9,0
Alaska,1 wk ahead,Bin,percent,9,9.1,0
Alaska,1 wk ahead,Bin,percent,9.1,9.2,0
Alaska,1 wk ahead,Bin,percent,9.2,9.3,0
Alaska,1 wk ahead,Bin,percent,9.3,9.4,0
Alaska,1 wk ahead,Bin,percent,9.4,9.5,0
Alaska,1 wk ahead,Bin,percent,9.5,9.6,0
Alaska,1 wk ahead,Bin,percent,9.6,9.7,0
Alaska,1 wk ahead,Bin,percent,9.7,9.8,0
Alaska,1 wk ahead,Bin,percent,9.8,9.9,0
Alaska,1 wk ahead,Bin,percent,9.9,10,0
Alaska,1 wk ahead,Bin,percent,10,10.1,0
Alaska,1 wk ahead,Bin,percent,10.1,10.2,0
Alaska,1 wk ahead,Bin,percent,10.2,10.3,0
Alaska,1 wk ahead,Bin,percent,10.3,10.4,0
Alaska,1 wk ahead,Bin,percent,10.4,10.5,0
Alaska,1 wk ahead,Bin,percent,10.5,10.6,0
Alaska,1 wk ahead,Bin,percent,10.6,10.7,0
Alaska,1 wk ahead,Bin,percent,10.7,10.8,0
Alaska,1 wk ahead,Bin,percent,10.8,10.9,0
Alaska,1 wk ahead,Bin,percent,10.9,11,0
Alaska,1 wk ahead,Bin,percent,11,11.1,0
Alaska,1 wk ahead,Bin,percent,11.1,11.2,0
Alaska,1 wk ahead,Bin,percent,11.2,11.3,0
Alaska,1 wk ahead,Bin,percent,11.3,11.4,0
Alaska,1 wk ahead,Bin,percent,11.4,11.5,0
Alaska,1 wk ahead,Bin,percent,11.5,11.6,0
Alaska,1 wk ahead,Bin,percent,11.6,11.7,0
Alaska,1 wk ahead,Bin,percent,11.7,11.8,0
Alaska,1 wk ahead,Bin,percent,11.8,11.9,0
Alaska,1 wk ahead,Bin,percent,11.9,12,0
Alaska,1 wk ahead,Bin,percent,12,12.1,0
Alaska,1 wk ahead,Bin,percent,12.1,12.2,0
Alaska,1 wk ahead,Bin,percent,12.2,12.3,0
Alaska,1 wk ahead,Bin,percent,12.3,12.4,0
Alaska,1 wk ahead,Bin,percent,12.4,12.5,0
Alaska,1 wk ahead,Bin,percent,12.5,12.6,0
Alaska,1 wk ahead,Bin,percent,12.6,12.7,0
Alaska,1 wk ahead,Bin,percent,12.7,12.8,0
Alaska,1 wk ahead,Bin,percent,12.8,12.9,0
Alaska,1 wk ahead,Bin,percent,12.9,13,0
Alaska,1 wk ahead,Bin,percent,13,100,0
Alaska,1 wk ahead,Bin,percent,6.3,6.4,0
Alaska,1 wk ahead,Bin,percent,6.4,6.5,0
Alaska,1 wk ahead,Bin,percent,6.5,6.6,0
Alaska,1 wk ahead,Bin,percent,6.6,6.7,0
Alaska,1 wk ahead,Bin,percent,6.7,6.8,0
Alaska,1 wk ahead,Bin,percent,6.8,6.9,0
Alaska,1 wk ahead,Bin,percent,6.9,7,0
Alaska,2 wk ahead,Bin,percent,0,0.1,0.001
Alaska,2 wk ahead,Bin,percent,0.1,0.2,0.012
Alaska,2 wk ahead,Bin,percent,0.2,0.3,0.0315
Alaska,2 wk ahead,Bin,percent,0.3,0.4,0.0955
Alaska,2 wk ahead,Bin,percent,0.4,0.5,0.226
Alaska,2 wk ahead,Bin,percent,0.5,0.6,0.2725
Alaska,2 wk ahead,Bin,percent,0.6,0.7,0.181
Alaska,2 wk ahead,Bin,percent,0.7,0.8,0.0875
Alaska,2 wk ahead,Bin,percent,0.8,0.9,0.0455
Alaska,2 wk ahead,Bin,percent,0.9,1,0.0185
Alaska,2 wk ahead,Bin,percent,1,1.1,0.0055
Alaska,2 wk ahead,Bin,percent,1.1,1.2,0.0065
Alaska,2 wk ahead,Bin,percent,1.2,1.3,0.004
Alaska,2 wk ahead,Bin,percent,1.3,1.4,0.0035
Alaska,2 wk ahead,Bin,percent,1.4,1.5,5.00E-04
Alaska,2 wk ahead,Bin,percent,1.5,1.6,0.003
Alaska,2 wk ahead,Bin,percent,1.6,1.7,5.00E-04
Alaska,2 wk ahead,Bin,percent,1.7,1.8,0.001
Alaska,2 wk ahead,Bin,percent,1.8,1.9,0.001
Alaska,2 wk ahead,Bin,percent,1.9,2,5.00E-04
Alaska,2 wk ahead,Bin,percent,2,2.1,0
Alaska,2 wk ahead,Bin,percent,2.1,2.2,5.00E-04
Alaska,2 wk ahead,Bin,percent,2.2,2.3,5.00E-04
Alaska,2 wk ahead,Bin,percent,2.3,2.4,0
Alaska,2 wk ahead,Bin,percent,2.4,2.5,0
Alaska,2 wk ahead,Bin,percent,2.5,2.6,5.00E-04
Alaska,2 wk ahead,Bin,percent,2.6,2.7,5.00E-04
Alaska,2 wk ahead,Bin,percent,2.7,2.8,5.00E-04
Alaska,2 wk ahead,Bin,percent,2.8,2.9,0
Alaska,2 wk ahead,Bin,percent,2.9,3,0
Alaska,2 wk ahead,Bin,percent,3,3.1,0
Alaska,2 wk ahead,Bin,percent,3.1,3.2,0
Alaska,2 wk ahead,Bin,percent,3.2,3.3,0
Alaska,2 wk ahead,Bin,percent,3.3,3.4,0
Alaska,2 wk ahead,Bin,percent,3.4,3.5,0
Alaska,2 wk ahead,Bin,percent,3.5,3.6,0
Alaska,2 wk ahead,Bin,percent,3.6,3.7,0
Alaska,2 wk ahead,Bin,percent,3.7,3.8,0
Alaska,2 wk ahead,Bin,percent,3.8,3.9,5.00E-04
Alaska,2 wk ahead,Bin,percent,3.9,4,0
Alaska,2 wk ahead,Bin,percent,4,4.1,0
Alaska,2 wk ahead,Bin,percent,4.1,4.2,0
Alaska,2 wk ahead,Bin,percent,4.2,4.3,0
Alaska,2 wk ahead,Bin,percent,4.3,4.4,0
Alaska,2 wk ahead,Bin,percent,4.4,4.5,0
Alaska,2 wk ahead,Bin,percent,4.5,4.6,0
Alaska,2 wk ahead,Bin,percent,4.6,4.7,0
Alaska,2 wk ahead,Bin,percent,4.7,4.8,0
Alaska,2 wk ahead,Bin,percent,4.8,4.9,0
Alaska,2 wk ahead,Bin,percent,4.9,5,0
Alaska,2 wk ahead,Bin,percent,5,5.1,0
Alaska,2 wk ahead,Bin,percent,5.1,5.2,0
Alaska,2 wk ahead,Bin,percent,5.2,5.3,0
Alaska,2 wk ahead,Bin,percent,6,6.1,0
Alaska,2 wk ahead,Bin,percent,6.1,6.2,0
Alaska,2 wk ahead,Bin,percent,6.2,6.3,0
Alaska,2 wk ahead,Bin,percent,6.3,6.4,0
Alaska,2 wk ahead,Bin,percent,6.4,6.5,0
Alaska,2 wk ahead,Bin,percent,6.5,6.6,0
Alaska,2 wk ahead,Bin,percent,6.6,6.7,0
Alaska,2 wk ahead,Bin,percent,6.7,6.8,0
Alaska,2 wk ahead,Bin,percent,6.8,6.9,0
Alaska,2 wk ahead,Bin,percent,6.9,7,0
Alaska,2 wk ahead,Bin,percent,7,7.1,0
Alaska,2 wk ahead,Bin,percent,7.1,7.2,0
Alaska,2 wk ahead,Bin,percent,7.2,7.3,0
Alaska,2 wk ahead,Bin,percent,7.3,7.4,0
Alaska,2 wk ahead,Bin,percent,7.4,7.5,0
Alaska,2 wk ahead,Bin,percent,7.5,7.6,0
Alaska,2 wk ahead,Bin,percent,7.6,7.7,0
Alaska,2 wk ahead,Bin,percent,7.7,7.8,0
Alaska,2 wk ahead,Bin,percent,7.8,7.9,0
Alaska,2 wk ahead,Bin,percent,7.9,8,0
Alaska,2 wk ahead,Bin,percent,8,8.1,0
Alaska,2 wk ahead,Bin,percent,8.1,8.2,0
Alaska,2 wk ahead,Bin,percent,8.2,8.3,0
Alaska,2 wk ahead,Bin,percent,8.3,8.4,0
Alaska,2 wk ahead,Bin,percent,8.4,8.5,0
Alaska,2 wk ahead,Bin,percent,8.5,8.6,0
Alaska,2 wk ahead,Bin,percent,8.6,8.7,0
Alaska,2 wk ahead,Bin,percent,8.7,8.8,0
Alaska,2 wk ahead,Bin,percent,8.8,8.9,0
Alaska,2 wk ahead,Bin,percent,8.9,9,0
Alaska,2 wk ahead,Bin,percent,9,9.1,0
Alaska,2 wk ahead,Bin,percent,9.1,9.2,0
Alaska,2 wk ahead,Bin,percent,9.2,9.3,0
Alaska,2 wk ahead,Bin,percent,9.3,9.4,0
Alaska,2 wk ahead,Bin,percent,9.4,9.5,0
Alaska,2 wk ahead,Bin,percent,9.5,9.6,0
Alaska,2 wk ahead,Bin,percent,9.6,9.7,0
Alaska,2 wk ahead,Bin,percent,9.7,9.8,0
Alaska,2 wk ahead,Bin,percent,9.8,9.9,0
Alaska,2 wk ahead,Bin,percent,9.9,10,0
Alaska,2 wk ahead,Bin,percent,10,10.1,0
